,Unnamed: 0,fecha,prediccion_trx,canal,file_date,y_mobile,y_access,mes_año,model,perc_error,SLA,SLA_over
253,98,2020-12-28 00:00:00,97275,MB,2020-12-17 17:08:35,347830.0,1456392.0,202012,MB_uk,0.7203375212028865,False,False
254,99,2020-12-29 00:00:00,102520,MB,2020-12-17 17:08:35,352735.0,722025.0,202012,MB_uk,0.7093568826456121,False,False
255,60,2020-11-04 00:00:00,379134,MB,2020-12-17 17:08:35,404782.0,983922.0,202011,MB_uk,0.06336250129699443,True,True
256,0,2020-10-21 00:00:00,748765,AB,2020-12-17 17:04:48,309095.0,700505.0,202010,AB,-0.06889315565199391,True,True
257,11,2020-10-26 00:00:00,312003,MB,2020-12-17 17:04:48,271710.0,988477.0,202010,MB,-0.1482941371315005,False,True
259,8,2020-10-21 00:00:00,335291,MB,2020-12-17 17:04:48,309095.0,700505.0,202010,MB,-0.0847506430061955,True,True
260,10,2020-10-23 00:00:00,315275,MB,2020-12-17 17:04:48,270418.0,642756.0,202010,MB,-0.16588022986635506,False,True
262,12,2020-10-27 00:00:00,346895,MB,2020-12-17 17:04:48,236387.0,594413.0,202010,MB,-0.4674876367989779,False,True
263,13,2020-10-28 00:00:00,340392,MB,2020-12-17 17:04:48,255249.0,656067.0,202010,MB,-0.3335683979173278,False,True
264,1,2020-10-22 00:00:00,645351,AB,2020-12-17 17:04:48,283511.0,653468.0,202010,AB,0.012421419258479375,True,True
267,9,2020-10-22 00:00:00,317912,MB,2020-12-17 17:04:48,283511.0,653468.0,202010,MB,-0.12133920729707137,False,True
268,5,2020-10-28 00:00:00,738364,AB,2020-12-17 17:04:48,255249.0,656067.0,202010,AB,-0.12543993220204644,False,True
269,4,2020-10-27 00:00:00,821459,AB,2020-12-17 17:04:48,236387.0,594413.0,202010,AB,-0.38196674702605765,False,True
270,3,2020-10-26 00:00:00,1215536,AB,2020-12-17 17:04:48,271710.0,988477.0,202010,AB,-0.22970590109835637,False,True
271,2,2020-10-23 00:00:00,697846,AB,2020-12-17 17:04:48,270418.0,642756.0,202010,AB,-0.08570904044458551,True,True
